Sample	Population	Super_Population	Sex
GM18501	YRI	AFR	Male
GM18519	YRI	AFR	Male
GM18856	YRI	AFR	Male
GM18861	YRI	AFR	Male
GM18864	YRI	AFR	Female
GM18865	YRI	AFR	Female
GM18871	YRI	AFR	Male
GM18876	YRI	AFR	Male
GM18924	YRI	AFR	Female
GM19035	LWK	AFR	Female
GM19041	LWK	AFR	Male
GM19308	LWK	AFR	Male
GM19312	LWK	AFR	Male
GM19462	LWK	AFR	Male
GM19471	LWK	AFR	Female
GM19473	LWK	AFR	Female
HG01884	ACB	AFR	Female
HG01891	ACB	AFR	Female
HG02257	ACB	AFR	Female
HG02280	ACB	AFR	Female
HG02486	ACB	AFR	Female
HG02559	ACB	AFR	Male
HG02572	GWD	AFR	Female
HG02615	GWD	AFR	Male
HG02622	GWD	AFR	Female
HG02630	GWD	AFR	Female
HG02647	GWD	AFR	Female
HG02717	GWD	AFR	Male
HG02809	GWD	AFR	Male
HG02886	GWD	AFR	Female
HG03041	GWD	AFR	Female
HG03453	MSL	AFR	Female
HG03471	MSL	AFR	Female
HG03516	ESN	AFR	Male
HG03540	GWD	AFR	Female
HG03579	MSL	AFR	Female
NA18859	YRI	AFR	Male
NA18862	YRI	AFR	Male
NA18913	YRI	AFR	Male
NA19101	YRI	AFR	Male
NA19122	YRI	AFR	Male
NA19127	YRI	AFR	Female
NA19128	YRI	AFR	Female
HG01879	ACB	AFR	Male
HG01880	ACB	AFR	Male
HG01883	ACB	AFR	Female
HG01890	ACB	AFR	Female
HG01894	ACB	AFR	Male
HG01896	ACB	AFR	Female
HG01915	ACB	AFR	Female
HG01985	ACB	AFR	Female
HG01988	ACB	AFR	Female
HG01990	ACB	AFR	Male
HG02009	ACB	AFR	Male
HG02010	ACB	AFR	Male
HG02012	ACB	AFR	Female
HG02014	ACB	AFR	Female
HG02051	ACB	AFR	Male
HG02053	ACB	AFR	Male
HG02095	ACB	AFR	Male
HG02107	ACB	AFR	Female
HG02111	ACB	AFR	Male
HG02143	ACB	AFR	Female
HG02144	ACB	AFR	Male
HG02282	ACB	AFR	Female
HG02283	ACB	AFR	Female
HG02284	ACB	AFR	Male
HG02307	ACB	AFR	Male
HG02308	ACB	AFR	Male
HG02309	ACB	AFR	Female
HG02314	ACB	AFR	Female
HG02318	ACB	AFR	Male
HG02332	ACB	AFR	Female
HG02337	ACB	AFR	Male
HG02420	ACB	AFR	Female
HG02429	ACB	AFR	Male
HG02442	ACB	AFR	Male
HG02445	ACB	AFR	Male
HG02455	ACB	AFR	Male
HG02485	ACB	AFR	Male
HG02496	ACB	AFR	Female
HG02502	ACB	AFR	Male
HG02545	ACB	AFR	Female
HG02546	ACB	AFR	Male
HG02554	ACB	AFR	Female
HG02558	ACB	AFR	Male
HG02561	GWD	AFR	Female
HG02562	GWD	AFR	Male
HG02568	GWD	AFR	Female
HG02573	GWD	AFR	Female
HG02577	ACB	AFR	Male
HG02580	ACB	AFR	Female
HG02582	GWD	AFR	Female
HG02585	GWD	AFR	Male
HG02588	GWD	AFR	Male
HG02595	GWD	AFR	Male
HG02611	GWD	AFR	Female
HG02614	GWD	AFR	Female
HG02634	GWD	AFR	Female
HG02635	GWD	AFR	Male
HG02643	GWD	AFR	Female
HG02678	GWD	AFR	Female
HG02679	GWD	AFR	Male
HG02703	GWD	AFR	Female
HG02715	GWD	AFR	Female
HG02721	GWD	AFR	Male
HG02768	GWD	AFR	Male
HG02771	GWD	AFR	Male
HG02805	GWD	AFR	Male
HG02817	GWD	AFR	Female
HG02836	GWD	AFR	Female
HG02922	ESN	AFR	Male
HG02938	ESN	AFR	Female
HG02943	ESN	AFR	Male
HG02944	ESN	AFR	Female
HG02953	ESN	AFR	Male
HG02965	ESN	AFR	Male
HG02970	ESN	AFR	Male
HG02971	ESN	AFR	Female
HG02974	ESN	AFR	Male
HG02976	ESN	AFR	Female
HG02979	ESN	AFR	Female
HG02982	GWD	AFR	Female
HG02983	GWD	AFR	Male
HG03024	GWD	AFR	Female
HG03028	GWD	AFR	Male
HG03039	GWD	AFR	Female
HG03048	GWD	AFR	Male
HG03052	MSL	AFR	Male
HG03057	MSL	AFR	Female
